egid,buildingStatus,buildingCategory,buildingClass,municipalityNumber,municipalityName,canton,geometry
191538728,1004,1060,1271,3111,Oberegg,AI,POINT (2762448.583 1254372.597)
191538729,1004,1060,1274,3111,Oberegg,AI,POINT (2759590.112 1254517.958)
191538730,1004,1060,1252,3111,Oberegg,AI,POINT (2759174.245 1254899.321)
191538731,1004,1060,1274,3111,Oberegg,AI,POINT (2759176.695 1254177.746)
191538732,1007,1060,1271,3111,Oberegg,AI,POINT (2759910.407 1254133.594)
191538734,1007,1060,1274,3111,Oberegg,AI,POINT (2760026.484 1253681.597)
191538735,1007,1060,1274,3111,Oberegg,AI,POINT (2759858.699 1253439.853)
191538737,1007,1060,1271,3111,Oberegg,AI,POINT (2759185.691 1253266.755)
191538738,1004,1060,1274,3111,Oberegg,AI,POINT (2757577.566 1254551.758)
191538739,1004,1060,1271,3111,Oberegg,AI,POINT (2756847.574 1251994.793)
191538740,1004,1060,1271,3111,Oberegg,AI,POINT (2761712.639 1255555.436)
191538741,1004,1080,1252,3111,Oberegg,AI,POINT (2758527.491 1253167.752)
191538742,1004,1060,1252,3111,Oberegg,AI,POINT (2759182.725 1254505.914)
191538743,1004,1060,1261,3111,Oberegg,AI,POINT (2758937.362 1254255.522)
191538744,1004,1060,1252,3111,Oberegg,AI,POINT (2760797.964 1253879.104)
191538746,1007,1060,1252,3111,Oberegg,AI,POINT (2758074.663 1253444.334)
191538748,1004,1060,1252,3111,Oberegg,AI,POINT (2757642.477 1254025.586)
191538749,1004,1060,1252,3111,Oberegg,AI,POINT (2758588.604 1253148.493)
191538750,1004,1060,1271,3111,Oberegg,AI,POINT (2759757.698 1254255.508)
191538752,1007,1060,1271,3111,Oberegg,AI,POINT (2758797.673 1255284.997)
191538753,1004,1060,1271,3111,Oberegg,AI,POINT (2758729.681 1254951.172)
191538754,1004,1060,1271,3111,Oberegg,AI,POINT (2758611.656 1254826.605)
191538755,1004,1060,1271,3111,Oberegg,AI,POINT (2758819.026 1254840.303)
191538756,1004,1060,1271,3111,Oberegg,AI,POINT (2758795.364 1254311.364)
191538757,1004,1060,1271,3111,Oberegg,AI,POINT (2759097.348 1253943.678)
191538758,1004,1060,1271,3111,Oberegg,AI,POINT (2758661.123 1254058.777)
191538759,1004,1060,1271,3111,Oberegg,AI,POINT (2758690.289 1254056.574)
191538760,1004,1060,1271,3111,Oberegg,AI,POINT (2757674.005 1254453.241)
191538761,1007,1060,1271,3111,Oberegg,AI,POINT (2758012.671 1254108.828)
191538762,1004,1060,1271,3111,Oberegg,AI,POINT (2757588.144 1254309.626)
191538763,1004,1060,1271,3111,Oberegg,AI,POINT (2757760.128 1253845.361)
